,Index,year,biomass
0,0,2010,8.475744247
1,0,2011,8.86856842
2,0,2012,9.202180862
3,0,2013,6.023069859
4,0,2014,10.78837395
5,0,2015,6.647324562
6,0,2016,7.387925148
7,0,2017,5.180296421
8,1,2010,24.02977753
9,1,2011,28.55134773
10,1,2012,25.86641502
11,1,2013,21.63445854
12,1,2014,34.41941071
13,1,2015,27.36190796
14,1,2016,40.43184662
15,1,2017,42.1269455
16,2,2010,44.83163452
17,2,2011,66.11116791
18,2,2012,56.98225784
19,2,2013,53.00373459
20,2,2014,70.91790771
21,2,2015,42.51711655
22,2,2016,59.18162918
23,2,2017,73.20323181
24,3,2010,59.97441864
25,3,2011,80.82130432
26,3,2012,78.95654297
27,3,2013,63.16056061
28,3,2014,93.51392365
29,3,2015,70.20317078
30,3,2016,74.53672028
31,3,2017,101.0673523
32,4,2010,14.6533699
33,4,2011,19.32752419
34,4,2012,21.92814445
35,4,2013,17.89958572
36,4,2014,19.53403473
37,4,2015,19.16579056
38,4,2016,16.53131485
39,4,2017,26.08688545
40,5,2010,17.41663933
41,5,2011,35.81100082
42,5,2012,26.00382614
43,5,2013,27.34848213
44,5,2014,29.59926796
45,5,2015,22.02611351
46,5,2016,23.59261703
47,5,2017,41.74900055
48,6,2010,23.56865692
49,6,2011,37.37121582
50,6,2012,38.29854965
51,6,2013,27.83802223
52,6,2014,40.77996063
53,6,2015,32.0148735
54,6,2016,37.77179718
55,6,2017,55.00392914
56,7,2010,48.34523392
57,7,2011,91.21583557
58,7,2012,91.90634155
59,7,2013,41.12175369
60,7,2014,57.26641083
61,7,2015,60.26341248
62,7,2016,72.29115295
63,7,2017,29.41161346
64,8,2010,58.78428268
65,8,2011,50.20689774
66,8,2012,60.70732117
67,8,2013,37.59899902
68,8,2014,59.46213913
69,8,2015,38.78831482
70,8,2016,31.31279564
71,8,2017,37.49700928
72,9,2010,67.90737915
73,9,2011,68.37599945
74,9,2012,87.02667999
75,9,2013,54.60224152
76,9,2014,78.11812592
77,9,2015,44.79618835
78,9,2016,36.00815201
79,9,2017,52.54997635
80,10,2010,8.916523933
81,10,2011,16.67988586
82,10,2012,21.61880493
83,10,2013,13.55043888
84,10,2014,15.40336704
85,10,2015,7.133224964
86,10,2016,7.731999874
87,10,2017,9.861409187
88,11,2010,3.416373968
89,11,2011,2.891346216
90,11,2012,3.826416016
91,11,2013,3.098782063
92,11,2014,6.333014011
93,11,2015,4.840425491
94,11,2016,4.729420662
95,11,2017,7.909708977
96,12,2010,2.298105955
97,12,2011,2.16505146
98,12,2012,1.780242443
99,12,2013,2.644897223
100,12,2014,5.368378639
101,12,2015,4.42347908
102,12,2016,4.019220352
103,12,2017,7.00591135
104,13,2010,0.405263782
105,13,2011,0.146914423
106,13,2012,0.168368369
107,13,2013,0.251682848
108,13,2014,0.180468485
109,13,2015,0.131804183
110,13,2016,0.170855775
111,13,2017,0.177586645
112,14,2010,0.378063947
113,14,2011,1.557207942
114,14,2012,0.267737508
115,14,2013,0.703203917
116,14,2014,0.31915012
117,14,2015,0.268467546
118,14,2016,0.407948494
119,14,2017,0.952278614
120,15,2010,45.17411041
121,15,2011,67.93484497
122,15,2012,58.22631454
123,15,2013,35.26721954
124,15,2014,55.58983994
125,15,2015,34.76856995
126,15,2016,29.41272354
127,15,2017,26.50906563
128,16,2010,56.53974152
129,16,2011,83.33338165
130,16,2012,81.21878815
131,16,2013,59.40704346
132,16,2014,85.44016266
133,16,2015,78.99917603
134,16,2016,94.71604919
135,16,2017,85.23765564
136,17,2010,139.3889465
137,17,2011,161.7566071
138,17,2012,149.984787
